iter	Passed	Remaining
413	4825	6829
414	4837	6818
415	4848	6806
416	4863	6799
417	4871	6783
418	4880	6767
419	4889	6751
420	4901	6741
421	4912	6728
422	4922	6714
423	4933	6702
424	4943	6688
425	4955	6677
426	4964	6662
427	4981	6657
428	4997	6652
429	5017	6651
430	5034	6646
431	5046	6635
432	5064	6632
433	5079	6624
434	5091	6612
435	5106	6605
436	5121	6598
437	5139	6594
438	5154	6587
439	5174	6586
440	5188	6577
441	5200	6565
442	5214	6556
443	5228	6547
444	5240	6536
445	5252	6524
446	5263	6511
447	5276	6501
448	5287	6488
449	5298	6476
450	5310	6464
451	5320	6450
452	5332	6438
453	5343	6426
454	5354	6413
455	5364	6399
456	5376	6388
457	5386	6374
458	5396	6360
459	5406	6347
460	5418	6335
461	5427	6320
462	5437	6306
463	5447	6292
464	5455	6276
465	5467	6264
466	5479	6253
467	5490	6240
468	5499	6226
469	5509	6212
470	5519	6199
471	5532	6188
472	5542	6175
473	5550	6159
474	5561	6146
475	5570	6132
476	5580	6118
477	5590	6105
478	5600	6091
479	5609	6076
480	5622	6066
481	5635	6056
482	5647	6045
483	5656	6030
484	5667	6018
485	5683	6010
486	5696	6000
487	5707	5988
488	5719	5976
489	5731	5965
490	5741	5951
491	5750	5937
492	5760	5924
493	5770	5911
494	5785	5902
495	5795	5888
496	5805	5875
497	5815	5862
498	5827	5851
499	5839	5839
500	5848	5824
501	5857	5811
502	5868	5798
503	5880	5786
504	5890	5773
505	5902	5762
506	5913	5750
507	5924	5738
508	5935	5725
509	5944	5711
510	5956	5699
511	5965	5686
512	5974	5671
513	5985	5659
514	5998	5649
515	6009	5636
516	6017	5622
517	6027	5608
518	6038	5596
519	6049	5583
520	6062	5573
521	6073	5561
522	6083	5548
523	6096	5538
524	6104	5523
525	6113	5508
526	6122	5495
527	6529	6137	528	6530	6150	529	6531	6163	530	6532	6174	531	6533	6186	532	6534	6197	533	6535	6210	5375
536	6220	5363
537	6229	536	6538	6246	537	6539	6259	538	6540	6276	539	6541	6290	5315
542	6303	541	6543	6317	5295
544	6329	5284
545	6344	5275
546	6358	5266
547	6369	5253
548	6381	5242
549	6392	5230
550	6405	5219
551	6421	5211
552	6433	5200
553	6444	5188
554	6455	5176
555	6466	5163
556	6477	5152
557	6488	5139
558	6500	5128
559	6511	5115
560	6522	5104
561	6531	5090
562	6543	5078
563	6556	5068
564	6568	5057
565	6581	5046
566	6595	5036
567	6606	5024
568	6616	5011
569	6626	4998
570	6637	4986
571	6645	4972
572	6657	4961
573	6668	4948
574	6681	4938
575	6691	4925
576	6702	4913
577	6715	4902
578	6725	4890
579	6736	4878
580	6747	4866
581	6759	4854
582	6770	4842
583	6783	4831
584	6792	4818
585	6802	4806
586	6812	4793
587	6822	4780
588	6832	4767
589	6840	4753
590	6850	4740
591	6863	4730
592	6875	4718
593	6888	4708
594	6901	4697
595	6912	4685
596	6923	4673
597	6934	4661
598	6945	4649
599	6954	4636
600	6967	4625
601	6981	4615
602	6993	4604
603	7003	4591
604	7012	4578
605	7023	4566
606	7037	4556
607	7046	4543
608	7062	4534
609	7073	4522
610	7082	4509
611	7093	4497
612	7105	4485
613	7115	4473
614	7128	4462
615	7140	4451
616	7153	4440
617	7167	4430
618	7176	4417
619	7187	4405
620	7197	4392
621	7206	4379
622	7218	4368
623	7230	4356
624	7242	4345
625	7253	4333
626	7264	4321
627	7277	4310
628	7287	4298
629	7298	4286
630	7315	4277
631	7328	4267
632	7336	4253
633	7346	4240
634	7359	4230
635	7367	4216
636	7377	4204
637	7389	4192
638	7398	4179
639	7409	4167
640	7422	4156
641	7432	4144
642	7441	4131
643	7451	4119
644	7461	4106
645	7469	4093
646	7479	4080
647	7490	4068
648	7500	4056
649	7516	4047
650	7534	4039
651	7546	4028
652	7562	4018
653	7578	4009
654	7590	3997
655	7606	3988
656	7617	3976
657	7630	3965
658	7641	3953
659	7655	3943
660	7668	3932
661	7682	3922
662	7695	3911
663	7708	3900
664	7721	3889
665	7739	3881
666	7756	3872
667	7769	3861
668	7781	3850
669	7795	3839
670	7807	3828
